tindex	j	i	t	ostat	tstat	surv	diam	dnow	dlast	cones	trt	x	y	ice	nfert	height
1	1	1	1	2	0	1	19.17660083	0.545497142	0.545497142	0	0	0.71	0.53	0	0	12.5
1	1	1	2	2	0	1	19.72209797	0.618054832	0.545497142	0	0	0.71	0.53	0	0	NA
1	1	1	3	2	0	1	20.3401528	0.574783052	0.618054832	0	0	0.71	0.53	0	0	NA
1	1	1	4	2	0	1	20.91493586	0.335053221	0.574783052	0	0	0.71	0.53	0	0	14.5
1	1	1	5	2	0	1	21.24998908	0.687444798	0.335053221	0	0	0.71	0.53	0	0	NA
1	1	1	6	3	1	1	21.93743387	0.664295524	0.687444798	1	0	0.71	0.53	0	0	NA
1	1	1	7	1	1	1	22.6017294	0.68803379	0.664295524	0	0	0.71	0.53	0	0	NA
1	1	1	8	1	1	1	23.28976319	0.601052942	0.68803379	0	0	0.71	0.53	0	0	NA
1	1	1	9	1	1	1	23.89081613	0.810749038	0.601052942	0	0	0.71	0.53	0	0	NA
1	1	1	10	1	1	1	24.70156517	0.456528843	0.810749038	0	0	0.71	0.53	0	0	NA
1	1	1	11	1	1	1	25.15809401	0.517315455	0.456528843	0	0	0.71	0.53	0	0	NA
2	1	2	1	2	0	1	13.80016765	0.233555696	0.233555696	0	0	1.26	2.36	0	0	12.1
2	1	2	2	2	0	1	14.03372335	0.279307198	0.233555696	0	0	1.26	2.36	0	0	NA
2	1	2	3	2	0	1	14.31303054	0.188539438	0.279307198	0	0	1.26	2.36	0	0	NA
2	1	2	4	3	1	1	14.50156998	0.190802953	0.188539438	4	0	1.26	2.36	0	0	14.6
2	1	2	5	1	1	1	14.69237293	0.220467621	0.190802953	0	0	1.26	2.36	0	0	NA
2	1	2	6	1	1	1	14.91284056	0.337659443	0.220467621	0	0	1.26	2.36	0	0	NA
2	1	2	7	1	1	1	15.2505	0.42389894	0.337659443	0	0	1.26	2.36	0	0	NA
2	1	2	8	1	1	1	15.67439894	0.320835172	0.42389894	0	0	1.26	2.36	0	0	NA
2	1	2	9	1	1	1	15.99523411	0.339609222	0.320835172	0	0	1.26	2.36	0	0	NA
2	1	2	10	3	1	1	16.33484333	0.157295823	0.339609222	2	0	1.26	2.36	0	0	NA
2	1	2	11	3	1	1	16.49213916	0.180238982	0.157295823	3	0	1.26	2.36	0	0	NA
3	1	3	1	2	0	1	19.02486596	0.447808144	0.447808144	0	0	1.44	6.16	0	0	12.7
3	1	3	2	2	0	1	19.4726741	0.514470694	0.447808144	0	0	1.44	6.16	0	0	NA
3	1	3	3	3	1	1	19.9871448	0.562214845	0.514470694	6	0	1.44	6.16	0	0	NA
3	1	3	4	1	1	1	20.54935964	0.444823454	0.562214845	0	0	1.44	6.16	0	0	15
3	1	3	5	1	1	1	20.9941831	0.419843443	0.444823454	0	0	1.44	6.16	0	0	NA
3	1	3	6	3	1	1	21.41402654	0.598606645	0.419843443	7	0	1.44	6.16	0	0	NA
3	1	3	7	3	1	1	22.01263318	0.742635856	0.598606645	9	0	1.44	6.16	0	0	NA
3	1	3	8	3	1	1	22.75526904	0.679965763	0.742635856	6	0	1.44	6.16	0	0	NA
3	1	3	9	3	1	1	23.4352348	0.451574446	0.679965763	2	0	1.44	6.16	0	0	NA
3	1	3	10	3	1	1	23.88680925	0.362898358	0.451574446	3	0	1.44	6.16	0	0	NA
3	1	3	11	3	1	1	24.24970761	0.487525226	0.362898358	7	0	1.44	6.16	0	0	NA
4	1	4	1	2	0	1	19.85716691	0.69049522	0.69049522	0	0	3.56	5.84	0	0	NA
4	1	4	2	2	0	1	20.54766213	0.794187885	0.69049522	0	0	3.56	5.84	0	0	NA
4	1	4	3	2	0	1	21.34185001	0.891734246	0.794187885	0	0	3.56	5.84	0	0	NA
4	1	4	4	2	0	1	22.23358426	0.927135863	0.891734246	0	0	3.56	5.84	0	0	NA
4	1	4	5	2	0	1	23.16072012	0.86946113	0.927135863	0	0	3.56	5.84	0	0	NA
4	1	4	6	2	0	1	24.03018125	0.810617748	0.86946113	0	0	3.56	5.84	0	0	NA
4	1	4	7	2	0	1	24.840799	0.736645557	0.810617748	0	0	3.56	5.84	0	0	NA
4	1	4	8	3	1	1	25.57744456	0.932509583	0.736645557	1	0	3.56	5.84	0	0	NA
4	1	4	9	1	1	1	26.50995414	0.842113878	0.932509583	0	0	3.56	5.84	0	0	NA
4	1	4	10	1	1	1	27.35206802	0.627738444	0.842113878	0	0	3.56	5.84	0	0	NA
4	1	4	11	3	1	1	27.97980646	0.943803021	0.627738444	13	0	3.56	5.84	0	0	NA
5	1	5	1	2	0	1	10.52318783	0.152009015	0.152009015	0	0	3.75	8.08	0	0	9.7
5	1	5	2	2	0	1	10.67519685	0.173397442	0.152009015	0	0	3.75	8.08	0	0	NA
5	1	5	3	2	0	1	10.84859429	0.180078286	0.173397442	0	0	3.75	8.08	0	0	NA
5	1	5	4	2	0	1	11.02867257	0.238274718	0.180078286	0	0	3.75	8.08	0	0	11.5
5	1	5	5	2	0	1	11.26694729	0.145599417	0.238274718	0	0	3.75	8.08	0	0	NA
5	1	5	6	2	0	1	11.41254671	0.104196615	0.145599417	0	0	3.75	8.08	0	0	NA
5	1	5	7	2	0	1	11.51674332	0.146502134	0.104196615	0	0	3.75	8.08	0	0	NA
5	1	5	8	2	0	1	11.66324546	0.133442399	0.146502134	0	0	3.75	8.08	0	0	NA
5	1	5	9	2	0	1	11.79668786	0.152721924	0.133442399	0	0	3.75	8.08	0	0	NA
5	1	5	10	1	0	1	11.94940978	0.164435907	0.152721924	NA	0	3.75	8.08	0	0	NA
5	1	5	11	1	0	1	12.11384569	0.132029414	0.164435907	NA	0	3.75	8.08	0	0	NA
6	1	6	1	2	0	1	18.70149689	0.697092739	0.697092739	0	0	2.69	9.16	0	0	NA
6	1	6	2	2	0	1	19.39858963	0.653637398	0.697092739	0	0	2.69	9.16	0	0	NA
6	1	6	3	2	0	1	20.05222703	0.734860998	0.653637398	0	0	2.69	9.16	0	0	NA
6	1	6	4	2	0	1	20.78708802	0.756521237	0.734860998	0	0	2.69	9.16	0	0	NA
6	1	6	5	2	0	1	21.54360926	0.474104733	0.756521237	0	0	2.69	9.16	0	0	NA
6	1	6	6	2	0	1	22.017714	0.505644627	0.474104733	0	0	2.69	9.16	0	0	NA
6	1	6	7	2	0	1	22.52335862	0.868521542	0.505644627	0	0	2.69	9.16	0	0	NA
6	1	6	8	2	0	1	23.39188016	0.784359432	0.868521542	0	0	2.69	9.16	0	0	NA
6	1	6	9	2	0	1	24.1762396	0.562602473	0.784359432	0	0	2.69	9.16	0	0	NA
6	1	6	10	2	0	1	24.73884207	0.644898787	0.562602473	0	0	2.69	9.16	0	0	NA
6	1	6	11	2	0	1	25.38374086	0.657975916	0.644898787	0	0	2.69	9.16	0	0	NA
7	1	7	1	2	0	1	6.022246378	0.056005108	0.056005108	0	0	5.06	8.86	0	0	NA
7	1	7	2	2	0	1	6.078251486	0.057809449	0.056005108	0	0	5.06	8.86	0	0	NA
7	1	7	3	2	0	1	6.136060935	0.047249356	0.057809449	0	0	5.06	8.86	0	0	NA
7	1	7	4	2	0	1	6.183310291	0.044900239	0.047249356	0	0	5.06	8.86	0	0	NA
7	1	7	5	2	0	1	6.22821053	0.037751773	0.044900239	0	0	5.06	8.86	0	0	NA
7	1	7	6	2	0	1	6.265962303	0.079346018	0.037751773	0	0	5.06	8.86	0	0	NA
7	1	7	7	2	0	1	6.345308321	0.040239812	0.079346018	0	0	5.06	8.86	0	0	NA
7	1	7	8	2	0	1	6.385548133	0.054913456	0.040239812	0	0	5.06	8.86	0	0	NA
7	1	7	9	2	0	1	6.440461589	0.03877731	0.054913456	0	0	5.06	8.86	0	0	NA
7	1	7	10	1	0	1	6.4792389	0.071886939	0.03877731	NA	0	5.06	8.86	0	0	NA
7	1	7	11	NA	0	0	NA	0.086693514	0.071886939	NA	0	5.06	8.86	0	0	NA
8	1	8	1	2	0	1	15.15939377	0.275756875	0.275756875	0	0	5.47	10.11	0	0	NA
8	1	8	2	2	0	1	15.43515064	0.262631429	0.275756875	0	0	5.47	10.11	0	0	NA
8	1	8	3	2	0	1	15.69778207	0.209182786	0.262631429	0	0	5.47	10.11	0	0	NA
8	1	8	4	2	0	1	15.90696486	0.283117907	0.209182786	0	0	5.47	10.11	0	0	NA
8	1	8	5	2	0	1	16.19008277	0.361957994	0.283117907	0	0	5.47	10.11	0	0	NA
8	1	8	6	3	1	1	16.55204076	0.343078358	0.361957994	1	0	5.47	10.11	1	0	NA
8	1	8	7	1	1	1	16.89511912	0.253542431	0.343078358	0	0	5.47	10.11	1	0	NA
8	1	8	8	1	1	1	17.14866155	0.34997238	0.253542431	0	0	5.47	10.11	1	0	NA
8	1	8	9	1	1	1	17.49863393	0.248828919	0.34997238	0	0	5.47	10.11	1	0	NA
8	1	8	10	1	1	1	17.74746285	0.342480817	0.248828919	0	0	5.47	10.11	1	0	NA
8	1	8	11	1	1	1	18.08994367	0.256344482	0.342480817	0	0	5.47	10.11	1	0	NA
9	1	9	1	2	0	1	15.04399461	0.638836996	0.638836996	0	0	6.26	11.79	0	0	NA
9	1	9	2	2	0	1	15.68283161	0.679204942	0.638836996	0	0	6.26	11.79	0	0	NA
9	1	9	3	2	0	1	16.36203655	0.759303857	0.679204942	0	0	6.26	11.79	0	0	NA
9	1	9	4	2	0	1	17.1213404	0.911935164	0.759303857	0	0	6.26	11.79	0	0	NA
9	1	9	5	2	0	1	18.03327557	0.734350999	0.911935164	0	0	6.26	11.79	0	0	NA
9	1	9	6	2	0	1	18.76762657	0.399234667	0.734350999	0	0	6.26	11.79	1	0	NA
9	1	9	7	2	0	1	19.16686123	0.76315025	0.399234667	0	0	6.26	11.79	1	0	NA
9	1	9	8	2	0	1	19.93001148	0.501442695	0.76315025	0	0	6.26	11.79	1	0	NA
9	1	9	9	2	0	1	20.43145418	0.505003881	0.501442695	0	0	6.26	11.79	1	0	NA
9	1	9	10	2	0	1	20.93645806	0.751834105	0.505003881	0	0	6.26	11.79	1	0	NA
9	1	9	11	2	0	1	21.68829216	0.618724308	0.751834105	0	0	6.26	11.79	1	0	NA
10	1	10	1	2	0	1	5.740275026	0.026074044	0.026074044	0	0	5.25	12.15	0	0	NA
10	1	10	2	2	0	1	5.76634907	0.026028548	0.026074044	0	0	5.25	12.15	0	0	NA
10	1	10	3	2	0	1	5.792377618	0.025480471	0.026028548	0	0	5.25	12.15	0	0	NA
10	1	10	4	2	0	1	5.817858089	0.026592564	0.025480471	0	0	5.25	12.15	0	0	NA
10	1	10	5	2	0	1	5.844450653	0.025130717	0.026592564	0	0	5.25	12.15	0	0	NA
10	1	10	6	2	0	1	5.86958137	0.03361935	0.025130717	0	0	5.25	12.15	0	0	NA
10	1	10	7	2	0	1	5.90320072	0.025016757	0.03361935	0	0	5.25	12.15	0	0	NA
10	1	10	8	2	0	1	5.928217477	0.028090756	0.025016757	0	0	5.25	12.15	0	0	NA
10	1	10	9	2	0	1	5.956308233	0.025337081	0.028090756	0	0	5.25	12.15	0	0	NA
10	1	10	10	1	0	1	5.981645314	0.031405479	0.025337081	NA	0	5.25	12.15	0	0	NA
10	1	10	11	NA	0	0	NA	0.027160158	0.031405479	NA	0	5.25	12.15	0	0	NA
11	1	11	1	2	0	1	7.132619132	0.064543377	0.064543377	0	0	4.86	10.89	0	0	NA
11	1	11	2	2	0	1	7.197162509	0.062269311	0.064543377	0	0	4.86	10.89	0	0	NA
11	1	11	3	2	0	1	7.25943182	0.076004107	0.062269311	0	0	4.86	10.89	0	0	NA
11	1	11	4	2	0	1	7.335435927	0.074050884	0.076004107	0	0	4.86	10.89	0	0	NA
11	1	11	5	2	0	1	7.409486811	0.078930098	0.074050884	0	0	4.86	10.89	0	0	NA
11	1	11	6	2	0	1	7.488416909	0.082027201	0.078930098	0	0	4.86	10.89	0	0	NA
11	1	11	7	2	0	1	7.57044411	0.075260245	0.082027201	0	0	4.86	10.89	0	0	NA
11	1	11	8	2	0	1	7.645704355	0.062072497	0.075260245	0	0	4.86	10.89	0	0	NA
11	1	11	9	2	0	1	7.707776852	0.095481272	0.062072497	0	0	4.86	10.89	0	0	NA
11	1	11	10	1	0	1	7.803258124	0.086362014	0.095481272	NA	0	4.86	10.89	0	0	NA
11	1	11	11	NA	0	0	NA	0.073158452	0.086362014	NA	0	4.86	10.89	0	0	NA
12	1	12	1	2	0	1	16.20269334	0.689602092	0.689602092	0	0	5	14.12	0	0	NA
12	1	12	2	2	0	1	16.89229543	0.751474454	0.689602092	0	0	5	14.12	0	0	NA
